Country,City,Operator Name,He Photon And Electron Beam Rt,Proton Ion Therapy,XRay Generator,Brachy Therapy Inc El,Last Update,Latitude,Longitude
Australia,Kingswood,Nepean Cancer Centre,3,0,0,0,2020.0,-33.7587814,150.7207438
Australia,Kogarah,St. George Hospital,3,0,0,0,2020.0,-33.9670314,151.1331948
Australia,Kurralta Park,Adelaide Radiotherapy Centre Tennyson,2,0,0,0,2020.0,-34.9487951,138.5709327
Australia,Launceston,WP Holman Launceston,4,0,0,0,2020.0,-41.4468901,147.140951
Australia,Lismore,North Coast Cancer Institute Lismore,2,0,0,0,2018.0,-28.8087783,153.290966
Australia,Liverpool SC,Liverpool Cancer Therapy Centre,3,0,0,0,2020.0,-33.9189548,150.9298332
Australia,Malvern,Genesis Cancer Care Cabrini,2,0,0,0,2020.0,-37.852403,145.0357348
Australia,Maroochydore,ICON Cancer Centre MaroochydoreROC Radiation Oncology Centres Maroochydore,1,0,0,0,2020.0,-26.6726482,153.0889885
Australia,Melbourne,"William Buckland Radiotherapy Centre, The Alfred",3,0,0,2,2020.0,-37.8456468,144.9820618
Australia,Melbourne,Olivia Newton John Cancer and Wellness Centre,3,0,0,0,2020.0,-37.7571535,145.059351
Australia,Midland,Radiation Oncology Centres Midland,1,0,0,0,2020.0,-31.8918569,116.0134727
Australia,Mulgrave,ICON Cancer Centre Mulgrave,1,0,0,0,2020.0,-37.9391853,145.2125028
Australia,Nambour,Genesis CancerCare Nambour,2,0,0,0,2018.0,-26.6313202,152.960382
Australia,Nedlands,Sir Charles Gairdner Hospital,6,0,0,0,2020.0,-31.9682236,115.8160413
Australia,Newcastle,Calvary Mater Newcastle Hospital,4,0,0,0,2020.0,-32.8985964,151.7208916
Australia,North Lakes,ICON Cancer Centre North LakesRadiation Oncology Centres North Lakes,1,0,0,0,2020.0,-27.2415651,153.0214572
Australia,North Mackay,ICON Cancer Centre Mackay,1,0,0,0,2020.0,-21.1280441,149.1634674
Australia,North Ryde,Genesis Cancer Care Macquarie,2,0,0,0,2020.0,-33.8317609,151.2018824
Australia,North Sydney,"Mater Hospital, St Vincent's Health Australia",3,0,0,0,2020.0,-33.8314588,151.2017751
Australia,North Tamworth,North West Cancer Centre Tamworth,1,0,0,0,2020.0,-31.0751091,150.9253478
Australia,Nowra,Shoalhaven Cancer Care Centre,2,0,0,0,2020.0,-34.870729,150.5936819
Australia,ORANGE,Central West Cancer Service,2,0,0,0,2020.0,-33.2871841,149.1057818
Australia,Parkville,Peter MacCallum Cancer Centre VCCC - Parkville,6,0,1,2,2020.0,-37.8000078,144.9565082
Australia,Perth,Genesis Cancer Care Fiona Stanley Hospital,3,0,0,0,2020.0,-32.0703883,115.8462669
Australia,Port Macquarie,"North Coast Cancer Institute, Port Macquarie",2,0,0,0,2020.0,-31.4526677,152.879561
Australia,Randwick,Prince of Wales Hospital - Nelune Comprehensive Cancer Centre,3,0,0,0,2020.0,-33.9174004,151.2403806
Australia,Revesby,Radiation Oncology Centres Revesby,1,0,0,0,2020.0,-33.9452471,151.018035
Australia,Richmond,ICON Cancer Centre Richmond,2,0,0,0,2020.0,-37.8171408,144.993297
Australia,Ringwood East,Genesis Cancer Care Ringwood,2,0,0,0,2020.0,-37.8145771,145.2310109
Australia,Rockhampton,Genesis Cancer Care Rockhampton,2,0,0,0,2020.0,-23.3786203,150.5088889
Australia,Rockingham,ICON Cancer Centre Rockingham,1,0,0,0,2020.0,-32.2874479,115.7469332
Australia,Shepparton,Genesis Cancer Care Shepparton,1,0,0,0,2020.0,-36.3811027,145.3993137
Australia,South Brisbane,Radiation Oncology Princess Alexandra Raymond Terrace (ROPART),4,0,0,0,2020.0,-27.4848359899404,153.027167455204
